from;to;distance
1907;2228;332.68
1907;1777;277.53
1907;1781;485.07
1907;1807;405.89
1907;2244;140.40
1907;1836;144.61
1907;1791;427.97
1907;2263;171.65
1907;2204;213.93
1907;2267;522.01
1907;1808;395.05
1907;1816;315.03
1907;1818;448.34
1907;1820;298.69
1907;1826;590.52
1907;2274;217.90
1907;1834;258.17
1907;2599;321.62
1907;2301;209.64
1907;2310;284.76
1907;2311;502.82
1907;3052;218.90
1907;2316;141.57
1907;1881;94.38
1907;1904;277.72
1907;2329;392.58
1907;3513;290.88
1907;1887;225.05
1907;1889;458.34
1907;1907;0.00
1907;1908;416.40
1907;2351;120.70
1907;2356;187.04
1907;2358;579.60
1907;1940;308.35
1907;1923;107.56
1907;2368;281.74
1907;2369;485.67
1908;2217;468.67
1908;2228;397.94
1908;1777;205.75
1908;1781;200.43
1908;1807;43.08
1908;2244;398.27
1908;1836;289.01
1908;1791;330.99
1908;2263;342.11
1908;2204;451.32
1908;2267;198.54
1908;1808;369.95
1908;1816;328.65
1908;1818;36.40
1908;1820;350.85
1908;1826;304.61
1908;2274;438.13
1908;1834;425.81
1908;2599;194.51
1908;2301;224.42
1908;2310;351.59
1908;2311;207.98
1908;3052;261.76
1908;2316;423.77
1908;1881;322.01
1908;1904;248.73
1908;2329;130.44
1908;3513;323.04
1908;1887;191.63
1908;1889;55.76
1908;1907;416.40
1908;1908;0.00
1908;2351;438.88
1908;2356;229.49
1908;2358;351.93
1908;1940;217.16
1908;1923;309.75
1908;2368;136.55
1908;2369;310.27
2351;2217;379.88
2351;2228;445.47
2351;1777;351.48
2351;1781;454.82
2351;1807;417.02
2351;2244;48.92
2351;1836;152.60
2351;1791;355.83
2351;2263;109.91
2351;2204;95.66
2351;2267;580.69
2351;1808;309.79
2351;1816;238.46
2351;1818;465.00
2351;1820;214.52
2351;1826;662.24
2351;2274;338.10
2351;1834;376.70
2351;2599;395.30
2351;2301;214.46
2351;2310;200.35
2351;2311;472.72
2351;3052;189.05
2351;2316;262.10
2351;1881;156.37
2351;1904;364.68
2351;2329;450.04
2351;3513;394.33
2351;1887;263.81
2351;1889;488.93
2351;1907;120.70
2351;1908;438.88
2351;2351;0.00
2351;2356;230.07
2351;2358;663.22
2351;1940;273.68
2351;1923;156.30
2351;2368;318.74
2351;2369;424.78
2356;2217;300.14
2356;2228;293.43
2356;1777;131.54
2356;1781;327.00
2356;1807;221.76
2356;2244;201.60
2356;1836;82.23
2356;1791;332.48
2356;2263;165.47
2356;2204;275.83
2356;2267;350.74
2356;1808;328.63
2356;1816;250.86
2356;1818;262.05
2356;1820;253.37
2356;1826;433.48
2356;2274;259.26
2356;1834;269.55
2356;2599;172.00
2356;2301;67.91
2356;2310;244.64
2356;2311;343.55
2356;3052;124.78
2356;2316;217.54
2356;1881;92.76
2356;1904;160.35
2356;2329;219.98
2356;3513;219.64
2356;1887;38.03
2356;1889;271.78
2356;1907;187.04
2356;1908;229.49
2356;2351;230.07
2356;2356;0.00
2356;2358;440.66
2356;1940;179.89
2356;1923;81.94
2356;2368;95.09
2356;2369;365.53
2358;2217;446.88
2358;2228;316.17
2358;1777;312.06
2358;1781;547.93
2358;1807;394.49
2358;2244;641.08
2358;1836;522.84
2358;1791;678.13
2358;2263;604.87
2358;2204;716.45
2358;2267;165.61
2358;1808;708.14
2358;1816;650.71
2358;1818;367.24
2358;1820;665.36
2358;1826;80.40
2358;2274;448.44
2358;1834;404.91
2358;2599;269.10
2358;2301;486.89
2358;2310;661.32
2358;2311;552.21
2358;3052;545.34
2358;2316;492.38
2358;1881;507.68
2358;1904;302.11
2358;2329;243.20
2358;3513;304.68
2358;1887;415.99
2358;1889;310.37
2358;1907;579.60
2358;1908;351.93
2358;2351;663.22
2358;2356;440.66
2358;2358;0.00
2358;1940;542.39
2358;1923;506.95
